county,county_fips,state_id,state_name,lat,lng,population
Lincoln,32017,NV,Nevada,37.6433,-114.8776,5177
Calhoun,5013,AR,Arkansas,33.5581,-92.503,5160
Johnson,31097,NE,Nebraska,40.3926,-96.2651,5118
Craig,51045,VA,Virginia,37.4817,-80.2114,5103
Hyde,37095,NC,North Carolina,35.5305,-76.2509,5089
Pickett,47137,TN,Tennessee,36.5584,-85.0749,5068
Garfield,49017,UT,Utah,37.8549,-111.4431,5000
Thayer,31169,NE,Nebraska,40.1762,-97.5949,5000
Rooks,20163,KS,Kansas,39.3502,-99.325,4985
Gallatin,17059,IL,Illinois,37.7628,-88.2305,4983
Scott,17171,IL,Illinois,39.6441,-90.4747,4982
Big Stone,27011,MN,Minnesota,45.4261,-96.4109,4974
Custer,8027,CO,Colorado,38.1087,-105.3675,4941
Kingsbury,46077,SD,South Dakota,44.3696,-97.4915,4936
Dillingham,2070,AK,Alaska,59.7991,-158.2351,4934
Scotland,29199,MO,Missouri,40.4526,-92.147,4923
Ringgold,19159,IA,Iowa,40.7352,-94.244,4922
Scott,20171,KS,Kansas,38.4822,-100.9069,4893
Ouray,8091,CO,Colorado,38.1555,-107.7693,4890
Dewey,40043,OK,Oklahoma,35.9876,-99.008,4885
Marshall,46091,SD,South Dakota,45.7586,-97.5986,4881
Mills,48333,TX,Texas,31.4952,-98.5955,4877
Washington,8121,CO,Colorado,39.971,-103.2013,4869
Dickey,38021,ND,North Dakota,46.1102,-98.5047,4857
Toole,30101,MT,Montana,48.6554,-111.6957,4812
Calhoun,17013,IL,Illinois,39.1693,-90.6676,4782
Putnam,29171,MO,Missouri,40.4789,-93.0162,4746
Crane,48103,TX,Texas,31.4285,-102.5156,4739
Carlisle,21039,KY,Kentucky,36.8532,-88.971,4738
Furnas,31065,NE,Nebraska,40.1764,-99.9123,4712
Morrill,31123,NE,Nebraska,41.716,-103.0105,4711
Hudspeth,48229,TX,Texas,31.4562,-105.3865,4687
Musselshell,30065,MT,Montana,46.4966,-108.3981,4682
Republic,20157,KS,Kansas,39.8278,-97.6506,4607
Menominee,55078,WI,Wisconsin,45.0044,-88.71,4566
Schuyler,29197,MO,Missouri,40.4703,-92.5209,4550
Hot Springs,56017,WY,Wyoming,43.7189,-108.4421,4550
Cameron,42023,PA,Pennsylvania,41.4368,-78.2039,4512
Mora,35033,NM,New Mexico,36.0106,-104.9451,4500
Barber,20007,KS,Kansas,37.2289,-98.6848,4493
Mineral,32021,NV,Nevada,38.5386,-118.435,4487
Hickman,21105,KY,Kentucky,36.6782,-88.9761,4461
Hamilton,36041,NY,New York,43.6611,-74.4974,4454
Tensas,22107,LA,Louisiana,32.0018,-91.3401,4435
Oneida,16071,ID,Idaho,42.195,-112.5394,4429
Sharkey,28125,MS,Mississippi,32.8798,-90.8132,4427
Owsley,21189,KY,Kentucky,37.4192,-83.6831,4416
Kimble,48267,TX,Texas,30.4868,-99.7487,4375
Holt,29087,MO,Missouri,40.0944,-95.2155,4374
Grant,40053,OK,Oklahoma,36.7961,-97.7861,4369
Dunn,38025,ND,North Dakota,47.3568,-102.6182,4362
Phillips,8095,CO,Colorado,40.5939,-102.3576,4343
Sioux,38085,ND,North Dakota,46.1127,-101.0404,4339
Guadalupe,35019,NM,New Mexico,34.8633,-104.7906,4336
Mineral,30061,MT,Montana,47.1472,-114.9983,4330
Wahkiakum,53069,WA,Washington,46.2918,-123.4244,4318
Florence,55037,WI,Wisconsin,45.8485,-88.3981,4312
Deuel,46039,SD,South Dakota,44.7601,-96.668,4309
Kittson,27069,MN,Minnesota,48.7766,-96.7829,4272
Bath,51017,VA,Virginia,38.0587,-79.7411,4248
Mason,48319,TX,Texas,30.7177,-99.2262,4248
Hidalgo,35023,NM,New Mexico,31.914,-108.7148,4234
LaMoure,38045,ND,North Dakota,46.4569,-98.5355,4225
Nuckolls,31129,NE,Nebraska,40.1764,-98.0472,4204
Adams,16003,ID,Idaho,44.8895,-116.4538,4200
Custer,16037,ID,Idaho,44.2411,-114.2817,4193
Gregory,46053,SD,South Dakota,43.1924,-99.1856,4193
Pope,17151,IL,Illinois,37.4127,-88.5615,4177
Stafford,20185,KS,Kansas,38.031,-98.7174,4125
Meade,20119,KS,Kansas,37.2382,-100.3662,4120
Corson,46031,SD,South Dakota,45.7086,-101.1969,4106
Union,35059,NM,New Mexico,36.4817,-103.471,4106
Valley,31175,NE,Nebraska,41.5673,-98.9819,4100
Storey,32029,NV,Nevada,39.447,-119.5294,4086
Pierce,38069,ND,North Dakota,48.2496,-99.9718,4061
Phillips,30071,MT,Montana,48.2592,-107.9132,4032
Columbia,53013,WA,Washington,46.2975,-117.9078,4024
Red Lake,27125,MN,Minnesota,47.8717,-96.0953,4005
Haskell,20081,KS,Kansas,37.5622,-100.8712,3990
Tyrrell,37177,NC,North Carolina,35.8172,-76.209,3978
Norton,51720,VA,Virginia,36.9314,-82.6262,3969
